"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-12-14T21:25:17.653265","05c48b52a3c99441e9a8fbad58eb20c1",4.5,766,"Derrick White","player_assists_over_under",2023-12-15
"2023-12-14T14:40:15.067760","05c48b52a3c99441e9a8fbad58eb20c1",4.5,771,"Jayson Tatum","player_assists_over_under",2023-12-15
"2023-12-14T14:40:15.068015","05c48b52a3c99441e9a8fbad58eb20c1",6.5,16137,"Darius Garland","player_assists_over_under",2023-12-15
"2023-12-14T21:25:17.652721","05c48b52a3c99441e9a8fbad58eb20c1",2.5,16139,"Caris Levert","player_assists_over_under",2023-12-15
"2023-12-14T21:25:17.653151","05c48b52a3c99441e9a8fbad58eb20c1",4.5,16704,"Jrue Holiday","player_assists_over_under",2023-12-15
"2023-12-14T14:40:15.067924","05c48b52a3c99441e9a8fbad58eb20c1",1.5,17717,"Jarrett Allen","player_assists_over_under",2023-12-15
"2023-12-14T02:25:07.383176","05c48b52a3c99441e9a8fbad58eb20c1",17.5,462,"Max Strus","player_assists_points_over_under",2023-12-15
"2023-12-14T02:25:07.382766","05c48b52a3c99441e9a8fbad58eb20c1",25.5,765,"Jaylen Brown","player_assists_points_over_under",2023-12-15
"2023-12-14T16:25:07.493462","05c48b52a3c99441e9a8fbad58eb20c1",19.5,766,"Derrick White","player_assists_points_over_under",2023-12-15
"2023-12-14T16:30:08.424334","05c48b52a3c99441e9a8fbad58eb20c1",31.5,771,"Jayson Tatum","player_assists_points_over_under",2023-12-15
"2023-12-14T02:25:07.382852","05c48b52a3c99441e9a8fbad58eb20c1",31.5,16136,"Donovan Mitchell","player_assists_points_over_under",2023-12-15
"2023-12-14T02:25:07.382599","05c48b52a3c99441e9a8fbad58eb20c1",29.5,16137,"Darius Garland","player_assists_points_over_under",2023-12-15
"2023-12-14T22:25:07.885097","05c48b52a3c99441e9a8fbad58eb20c1",13,16139,"Caris Levert","player_assists_points_over_under",2023-12-15
"2023-12-14T16:35:08.067105","05c48b52a3c99441e9a8fbad58eb20c1",21.5,16703,"Kristaps Porzingis","player_assists_points_over_under",2023-12-15
"2023-12-14T23:25:07.584818","05c48b52a3c99441e9a8fbad58eb20c1",16.5,16704,"Jrue Holiday","player_assists_points_over_under",2023-12-15
"2023-12-14T02:25:07.383084","05c48b52a3c99441e9a8fbad58eb20c1",13.5,17717,"Jarrett Allen","player_assists_points_over_under",2023-12-15
"2023-12-14T14:40:15.067879","05c48b52a3c99441e9a8fbad58eb20c1",23.5,462,"Max Strus","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.652626","05c48b52a3c99441e9a8fbad58eb20c1",31.5,765,"Jaylen Brown","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.653320","05c48b52a3c99441e9a8fbad58eb20c1",23.5,766,"Derrick White","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T14:40:15.067832","05c48b52a3c99441e9a8fbad58eb20c1",42.5,771,"Jayson Tatum","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.653408","05c48b52a3c99441e9a8fbad58eb20c1",10.5,941,"Georges Niang","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T14:40:15.068152","05c48b52a3c99441e9a8fbad58eb20c1",37.5,16136,"Donovan Mitchell","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T14:40:15.068059","05c48b52a3c99441e9a8fbad58eb20c1",31.5,16137,"Darius Garland","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.652895","05c48b52a3c99441e9a8fbad58eb20c1",16.5,16139,"Caris Levert","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.653066","05c48b52a3c99441e9a8fbad58eb20c1",29.5,16703,"Kristaps Porzingis","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.653208","05c48b52a3c99441e9a8fbad58eb20c1",23.5,16704,"Jrue Holiday","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.652953","05c48b52a3c99441e9a8fbad58eb20c1",9.5,17383,"Dean Wade","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T14:40:15.067970","05c48b52a3c99441e9a8fbad58eb20c1",22.5,17717,"Jarrett Allen","player_assists_points_rebounds_over_under",2023-12-15
"2023-12-14T02:25:07.383198","05c48b52a3c99441e9a8fbad58eb20c1",8.5,462,"Max Strus","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T02:25:07.382724","05c48b52a3c99441e9a8fbad58eb20c1",8.5,765,"Jaylen Brown","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T16:25:07.493275","05c48b52a3c99441e9a8fbad58eb20c1",8.5,766,"Derrick White","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T23:30:07.667789","05c48b52a3c99441e9a8fbad58eb20c1",8.5,768,"Al Horford","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T13:20:07.956074","05c48b52a3c99441e9a8fbad58eb20c1",14,771,"Jayson Tatum","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T15:20:08.316692","05c48b52a3c99441e9a8fbad58eb20c1",10,16136,"Donovan Mitchell","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T15:20:08.316670","05c48b52a3c99441e9a8fbad58eb20c1",9,16137,"Darius Garland","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T16:35:08.067153","05c48b52a3c99441e9a8fbad58eb20c1",9.5,16703,"Kristaps Porzingis","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T16:35:08.066658","05c48b52a3c99441e9a8fbad58eb20c1",10.5,16704,"Jrue Holiday","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T18:40:08.603470","05c48b52a3c99441e9a8fbad58eb20c1",11,17717,"Jarrett Allen","player_assists_rebounds_over_under",2023-12-15
"2023-12-14T21:25:17.652570","05c48b52a3c99441e9a8fbad58eb20c1",0.5,765,"Jaylen Brown","player_blocks_over_under",2023-12-15
"2023-12-14T14:40:15.067784","05c48b52a3c99441e9a8fbad58eb20c1",0.5,771,"Jayson Tatum","player_blocks_over_under",2023-12-15
"2023-12-14T21:25:17.653010","05c48b52a3c99441e9a8fbad58eb20c1",1.5,16703,"Kristaps Porzingis","player_blocks_over_under",2023-12-15
"2023-12-14T02:35:07.952875","05c48b52a3c99441e9a8fbad58eb20c1",1.5,771,"Jayson Tatum","player_blocks_steals_over_under",2023-12-15
"2023-12-14T02:35:07.952808","05c48b52a3c99441e9a8fbad58eb20c1",1.5,16137,"Darius Garland","player_blocks_steals_over_under",2023-12-15
"2023-12-14T23:30:07.667892","05c48b52a3c99441e9a8fbad58eb20c1",0.5,17964,"Sam Hauser","player_blocks_steals_over_under",2023-12-15
"2023-12-14T14:40:15.067856","05c48b52a3c99441e9a8fbad58eb20c1",14.5,462,"Max Strus","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.652598","05c48b52a3c99441e9a8fbad58eb20c1",21.5,765,"Jaylen Brown","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.653293","05c48b52a3c99441e9a8fbad58eb20c1",15.5,766,"Derrick White","player_points_over_under",2023-12-15
"2023-12-14T14:40:15.067808","05c48b52a3c99441e9a8fbad58eb20c1",28.5,771,"Jayson Tatum","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.653378","05c48b52a3c99441e9a8fbad58eb20c1",6.5,941,"Georges Niang","player_points_over_under",2023-12-15
"2023-12-14T14:40:15.068130","05c48b52a3c99441e9a8fbad58eb20c1",26.5,16136,"Donovan Mitchell","player_points_over_under",2023-12-15
"2023-12-14T14:40:15.068037","05c48b52a3c99441e9a8fbad58eb20c1",22.5,16137,"Darius Garland","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.652860","05c48b52a3c99441e9a8fbad58eb20c1",9.5,16139,"Caris Levert","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.653038","05c48b52a3c99441e9a8fbad58eb20c1",20.5,16703,"Kristaps Porzingis","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.653179","05c48b52a3c99441e9a8fbad58eb20c1",12.5,16704,"Jrue Holiday","player_points_over_under",2023-12-15
"2023-12-14T21:25:17.652924","05c48b52a3c99441e9a8fbad58eb20c1",4.5,17383,"Dean Wade","player_points_over_under",2023-12-15
"2023-12-14T14:40:15.067947","05c48b52a3c99441e9a8fbad58eb20c1",11.5,17717,"Jarrett Allen","player_points_over_under",2023-12-15
"2023-12-14T02:25:07.383153","05c48b52a3c99441e9a8fbad58eb20c1",19.5,462,"Max Strus","player_points_rebounds_over_under",2023-12-15
