"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-12-12T15:10:14.246564","cfc62a035c6c8b1bf219ad7f0d73fe4c",4.5,766,"Derrick White","player_assists_over_under",2023-12-13
"2023-12-12T21:45:14.378465","cfc62a035c6c8b1bf219ad7f0d73fe4c",2.5,768,"Al Horford","player_assists_over_under",2023-12-13
"2023-12-12T21:45:14.378558","cfc62a035c6c8b1bf219ad7f0d73fe4c",4.5,16136,"Donovan Mitchell","player_assists_over_under",2023-12-13
"2023-12-12T15:10:14.246263","cfc62a035c6c8b1bf219ad7f0d73fe4c",1.5,16703,"Kristaps Porzingis","player_assists_over_under",2023-12-13
"2023-12-12T19:15:07.250826","cfc62a035c6c8b1bf219ad7f0d73fe4c",16.5,462,"Max Strus","player_assists_points_over_under",2023-12-13
"2023-12-12T23:15:07.539414","cfc62a035c6c8b1bf219ad7f0d73fe4c",25,765,"Jaylen Brown","player_assists_points_over_under",2023-12-13
"2023-12-12T19:25:07.359753","cfc62a035c6c8b1bf219ad7f0d73fe4c",19,766,"Derrick White","player_assists_points_over_under",2023-12-13
"2023-12-12T17:25:07.733710","cfc62a035c6c8b1bf219ad7f0d73fe4c",30.5,771,"Jayson Tatum","player_assists_points_over_under",2023-12-13
"2023-12-12T17:00:08.026919","cfc62a035c6c8b1bf219ad7f0d73fe4c",30.5,16136,"Donovan Mitchell","player_assists_points_over_under",2023-12-13
"2023-12-12T22:35:07.956245","cfc62a035c6c8b1bf219ad7f0d73fe4c",27.5,16137,"Darius Garland","player_assists_points_over_under",2023-12-13
"2023-12-12T07:40:07.545866","cfc62a035c6c8b1bf219ad7f0d73fe4c",19.5,16703,"Kristaps Porzingis","player_assists_points_over_under",2023-12-13
"2023-12-12T23:55:07.713727","cfc62a035c6c8b1bf219ad7f0d73fe4c",17.5,16704,"Jrue Holiday","player_assists_points_over_under",2023-12-13
"2023-12-12T19:00:08.183129","cfc62a035c6c8b1bf219ad7f0d73fe4c",12.5,17717,"Jarrett Allen","player_assists_points_over_under",2023-12-13
"2023-12-12T21:45:14.378327","cfc62a035c6c8b1bf219ad7f0d73fe4c",21.5,462,"Max Strus","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T15:10:14.246108","cfc62a035c6c8b1bf219ad7f0d73fe4c",29.5,765,"Jaylen Brown","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T15:10:14.246679","cfc62a035c6c8b1bf219ad7f0d73fe4c",22.5,766,"Derrick White","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T15:10:14.246201","cfc62a035c6c8b1bf219ad7f0d73fe4c",39.5,771,"Jayson Tatum","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T15:10:14.246325","cfc62a035c6c8b1bf219ad7f0d73fe4c",26.5,16703,"Kristaps Porzingis","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T15:10:14.246431","cfc62a035c6c8b1bf219ad7f0d73fe4c",23.5,16704,"Jrue Holiday","player_assists_points_rebounds_over_under",2023-12-13
"2023-12-12T19:15:07.250875","cfc62a035c6c8b1bf219ad7f0d73fe4c",7.5,462,"Max Strus","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T14:55:07.882334","cfc62a035c6c8b1bf219ad7f0d73fe4c",8,765,"Jaylen Brown","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T07:40:07.545979","cfc62a035c6c8b1bf219ad7f0d73fe4c",8.5,766,"Derrick White","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T21:25:08.059351","cfc62a035c6c8b1bf219ad7f0d73fe4c",8.5,768,"Al Horford","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T16:55:07.300508","cfc62a035c6c8b1bf219ad7f0d73fe4c",13,771,"Jayson Tatum","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T17:00:08.026832","cfc62a035c6c8b1bf219ad7f0d73fe4c",10,16136,"Donovan Mitchell","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T18:45:07.408661","cfc62a035c6c8b1bf219ad7f0d73fe4c",9,16137,"Darius Garland","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T07:40:07.545921","cfc62a035c6c8b1bf219ad7f0d73fe4c",8.5,16703,"Kristaps Porzingis","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T14:55:07.882433","cfc62a035c6c8b1bf219ad7f0d73fe4c",11,16704,"Jrue Holiday","player_assists_rebounds_over_under",2023-12-13
"2023-12-12T19:00:08.183185","cfc62a035c6c8b1bf219ad7f0d73fe4c",10.5,17717,"Jarrett Allen","player_assists_rebounds_over_under",2023-12-13
