"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-12-04T15:15:13.251911","09a1ce6b66f4ffc1108d438154ca6ea1",5,766,"Derrick White","player_assists_over_under",2023-12-05
"2023-12-04T23:25:12.052156","09a1ce6b66f4ffc1108d438154ca6ea1",14.5,392,"Bruce Brown","player_assists_points_over_under",2023-12-05
"2023-12-04T15:10:11.793870","09a1ce6b66f4ffc1108d438154ca6ea1",13.5,768,"Al Horford","player_assists_points_over_under",2023-12-05
"2023-12-04T21:25:13.499170","09a1ce6b66f4ffc1108d438154ca6ea1",35,771,"Jayson Tatum","player_assists_points_over_under",2023-12-05
"2023-12-04T23:15:10.836307","09a1ce6b66f4ffc1108d438154ca6ea1",37.5,16548,"Tyrese Haliburton","player_assists_points_over_under",2023-12-05
"2023-12-04T23:25:12.052439","09a1ce6b66f4ffc1108d438154ca6ea1",12.5,16549,"Bennedict Mathurin","player_assists_points_over_under",2023-12-05
"2023-12-03T21:55:12.704068","09a1ce6b66f4ffc1108d438154ca6ea1",19.5,16704,"Jrue Holiday","player_assists_points_over_under",2023-12-05
"2023-12-04T23:20:11.886590","09a1ce6b66f4ffc1108d438154ca6ea1",16.5,16809,"Myles Turner","player_assists_points_over_under",2023-12-05
"2023-12-04T23:20:11.886887","09a1ce6b66f4ffc1108d438154ca6ea1",16.5,17118,"Buddy Hield","player_assists_points_over_under",2023-12-05
"2023-12-04T16:55:13.003284","09a1ce6b66f4ffc1108d438154ca6ea1",10.5,17155,"Payton Pritchard","player_assists_points_over_under",2023-12-05
"2023-12-04T23:25:12.052098","09a1ce6b66f4ffc1108d438154ca6ea1",19,392,"Bruce Brown","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T23:30:14.277274","09a1ce6b66f4ffc1108d438154ca6ea1",17,759,"Obi Toppin","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T13:15:13.462101","09a1ce6b66f4ffc1108d438154ca6ea1",24.5,766,"Derrick White","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T20:20:13.659869","09a1ce6b66f4ffc1108d438154ca6ea1",22,768,"Al Horford","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T13:20:13.947114","09a1ce6b66f4ffc1108d438154ca6ea1",45,771,"Jayson Tatum","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T23:15:10.836250","09a1ce6b66f4ffc1108d438154ca6ea1",41.5,16548,"Tyrese Haliburton","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T23:20:11.887030","09a1ce6b66f4ffc1108d438154ca6ea1",16.5,16549,"Bennedict Mathurin","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T23:05:11.121495","09a1ce6b66f4ffc1108d438154ca6ea1",26.5,16704,"Jrue Holiday","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T23:20:11.886649","09a1ce6b66f4ffc1108d438154ca6ea1",24.5,16809,"Myles Turner","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-05T00:20:12.143677","09a1ce6b66f4ffc1108d438154ca6ea1",21,17118,"Buddy Hield","player_assists_points_rebounds_over_under",2023-12-05
"2023-12-04T15:10:11.793388","09a1ce6b66f4ffc1108d438154ca6ea1",14,771,"Jayson Tatum","player_assists_rebounds_over_under",2023-12-05
"2023-12-04T23:20:11.886527","09a1ce6b66f4ffc1108d438154ca6ea1",9,16809,"Myles Turner","player_assists_rebounds_over_under",2023-12-05
"2023-12-03T18:20:01.988093","09a1ce6b66f4ffc1108d438154ca6ea1",0.5,765,"Jaylen Brown","player_blocks_over_under",2023-12-05
"2023-12-03T21:40:02.168661","09a1ce6b66f4ffc1108d438154ca6ea1",1.5,768,"Al Horford","player_blocks_over_under",2023-12-05
"2023-12-03T23:05:02.501413","09a1ce6b66f4ffc1108d438154ca6ea1",1.5,16809,"Myles Turner","player_blocks_over_under",2023-12-05
"2023-12-03T20:15:13.725923","09a1ce6b66f4ffc1108d438154ca6ea1",1.5,771,"Jayson Tatum","player_blocks_steals_over_under",2023-12-05
"2023-12-04T23:25:12.051986","09a1ce6b66f4ffc1108d438154ca6ea1",11.5,392,"Bruce Brown","player_points_over_under",2023-12-05
"2023-12-04T20:25:13.561785","09a1ce6b66f4ffc1108d438154ca6ea1",11,768,"Al Horford","player_points_over_under",2023-12-05
"2023-12-04T18:55:12.880083","09a1ce6b66f4ffc1108d438154ca6ea1",31,771,"Jayson Tatum","player_points_over_under",2023-12-05
"2023-12-04T23:15:10.836360","09a1ce6b66f4ffc1108d438154ca6ea1",26.5,16548,"Tyrese Haliburton","player_points_over_under",2023-12-05
"2023-12-04T23:15:10.836413","09a1ce6b66f4ffc1108d438154ca6ea1",11.5,16549,"Bennedict Mathurin","player_points_over_under",2023-12-05
"2023-12-03T21:55:12.704032","09a1ce6b66f4ffc1108d438154ca6ea1",14.5,16704,"Jrue Holiday","player_points_over_under",2023-12-05
"2023-12-04T23:20:11.886710","09a1ce6b66f4ffc1108d438154ca6ea1",15.5,16809,"Myles Turner","player_points_over_under",2023-12-05
"2023-12-04T22:05:12.820217","09a1ce6b66f4ffc1108d438154ca6ea1",7,17155,"Payton Pritchard","player_points_over_under",2023-12-05
"2023-12-04T23:15:10.836463","09a1ce6b66f4ffc1108d438154ca6ea1",8.5,17161,"Aaron Nesmith","player_points_over_under",2023-12-05
"2023-12-04T16:50:12.945879","09a1ce6b66f4ffc1108d438154ca6ea1",9,17964,"Sam Hauser","player_points_over_under",2023-12-05
