"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-12-02T23:35:11.752330","b0bab1dd7a9ce6d07c17928e1b47c1d4",7,16551,"Spencer Dinwiddie","player_assists_over_under",2023-12-03
"2023-12-02T23:55:14.130714","b0bab1dd7a9ce6d07c17928e1b47c1d4",23.5,16133,"Franz Wagner","player_assists_points_over_under",2023-12-03
"2023-12-02T06:20:12.318546","b0bab1dd7a9ce6d07c17928e1b47c1d4",26.5,16550,"Mikal Bridges","player_assists_points_over_under",2023-12-03
"2023-12-02T06:20:12.318694","b0bab1dd7a9ce6d07c17928e1b47c1d4",22.5,16551,"Spencer Dinwiddie","player_assists_points_over_under",2023-12-03
"2023-12-02T21:10:13.041258","b0bab1dd7a9ce6d07c17928e1b47c1d4",14,17043,"Nicolas Claxton","player_assists_points_over_under",2023-12-03
"2023-12-02T23:55:14.130994","b0bab1dd7a9ce6d07c17928e1b47c1d4",17.5,17116,"Cole Anthony","player_assists_points_over_under",2023-12-03
"2023-12-02T06:20:12.318318","b0bab1dd7a9ce6d07c17928e1b47c1d4",17.5,17146,"Cameron Johnson","player_assists_points_over_under",2023-12-03
"2023-12-02T06:15:12.476322","b0bab1dd7a9ce6d07c17928e1b47c1d4",32.5,16550,"Mikal Bridges","player_assists_points_rebounds_over_under",2023-12-03
"2023-12-03T00:00:15.561238","b0bab1dd7a9ce6d07c17928e1b47c1d4",26,16551,"Spencer Dinwiddie","player_assists_points_rebounds_over_under",2023-12-03
"2023-12-02T19:35:11.179839","b0bab1dd7a9ce6d07c17928e1b47c1d4",23.5,17043,"Nicolas Claxton","player_assists_points_rebounds_over_under",2023-12-03
"2023-12-02T23:55:14.131031","b0bab1dd7a9ce6d07c17928e1b47c1d4",22.5,17116,"Cole Anthony","player_assists_points_rebounds_over_under",2023-12-03
"2023-12-02T15:35:11.807487","b0bab1dd7a9ce6d07c17928e1b47c1d4",23.5,17146,"Cameron Johnson","player_assists_points_rebounds_over_under",2023-12-03
"2023-12-02T23:55:14.130648","b0bab1dd7a9ce6d07c17928e1b47c1d4",8,16133,"Franz Wagner","player_assists_rebounds_over_under",2023-12-03
"2023-12-02T06:25:13.546578","b0bab1dd7a9ce6d07c17928e1b47c1d4",9.5,16550,"Mikal Bridges","player_assists_rebounds_over_under",2023-12-03
"2023-12-02T06:25:13.546647","b0bab1dd7a9ce6d07c17928e1b47c1d4",11.5,16551,"Spencer Dinwiddie","player_assists_rebounds_over_under",2023-12-03
"2023-12-02T23:45:12.430889","b0bab1dd7a9ce6d07c17928e1b47c1d4",11,17043,"Nicolas Claxton","player_assists_rebounds_over_under",2023-12-03
"2023-12-03T00:00:15.561364","b0bab1dd7a9ce6d07c17928e1b47c1d4",9,17851,"Goga Bitadze","player_assists_rebounds_over_under",2023-12-03
"2023-12-03T00:05:14.404896","b0bab1dd7a9ce6d07c17928e1b47c1d4",0.5,17196,"Royce O'Neale","player_blocks_over_under",2023-12-03
"2023-12-02T23:35:02.130931","b0bab1dd7a9ce6d07c17928e1b47c1d4",1.5,17195,"Cam Johnson","player_blocks_steals_over_under",2023-12-03
"2023-12-02T23:55:02.259578","b0bab1dd7a9ce6d07c17928e1b47c1d4",1.5,17349,"Jonathan Isaac","player_blocks_steals_over_under",2023-12-03
"2023-12-02T23:55:14.130772","b0bab1dd7a9ce6d07c17928e1b47c1d4",19.5,16133,"Franz Wagner","player_points_over_under",2023-12-03
"2023-12-02T05:50:12.518361","b0bab1dd7a9ce6d07c17928e1b47c1d4",22.5,16550,"Mikal Bridges","player_points_over_under",2023-12-03
"2023-12-02T05:50:12.518397","b0bab1dd7a9ce6d07c17928e1b47c1d4",14.5,16551,"Spencer Dinwiddie","player_points_over_under",2023-12-03
