"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-10-24T22:35:19.600759","9b3130e607f80aa4912aa184e2f4eab3",5,377,"Kevin Durant","player_assists_over_under",2023-10-25
"2023-10-24T18:15:21.635951","9b3130e607f80aa4912aa184e2f4eab3",6.5,386,"Devin Booker","player_assists_over_under",2023-10-25
"2023-10-23T20:40:21.571814","9b3130e607f80aa4912aa184e2f4eab3",7.5,405,"Chris Paul","player_assists_over_under",2023-10-25
"2023-10-25T01:05:15.454920","9b3130e607f80aa4912aa184e2f4eab3",0.5,17125,"Nassir Little","player_assists_over_under",2023-10-25
"2023-10-25T01:05:15.454989","9b3130e607f80aa4912aa184e2f4eab3",0.5,17126,"Keita Bates-Diop","player_assists_over_under",2023-10-25
"2023-10-24T22:25:19.927824","9b3130e607f80aa4912aa184e2f4eab3",33.5,377,"Kevin Durant","player_assists_points_over_under",2023-10-25
"2023-10-24T18:10:18.948510","9b3130e607f80aa4912aa184e2f4eab3",34.5,386,"Devin Booker","player_assists_points_over_under",2023-10-25
"2023-10-24T15:00:21.348407","9b3130e607f80aa4912aa184e2f4eab3",37,394,"Stephen Curry","player_assists_points_over_under",2023-10-25
"2023-10-23T20:40:21.571589","9b3130e607f80aa4912aa184e2f4eab3",20,405,"Chris Paul","player_assists_points_over_under",2023-10-25
"2023-10-24T23:45:17.825279","9b3130e607f80aa4912aa184e2f4eab3",14.5,16159,"Jusuf Nurkic","player_assists_points_over_under",2023-10-25
"2023-10-24T14:35:19.283574","9b3130e607f80aa4912aa184e2f4eab3",20.5,369,"Kevon Looney","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-24T22:25:19.927933","9b3130e607f80aa4912aa184e2f4eab3",40,377,"Kevin Durant","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-24T18:10:18.948710","9b3130e607f80aa4912aa184e2f4eab3",39.5,386,"Devin Booker","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-24T21:10:20.251406","9b3130e607f80aa4912aa184e2f4eab3",26.5,390,"Klay Thompson","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-23T20:40:21.571755","9b3130e607f80aa4912aa184e2f4eab3",24,405,"Chris Paul","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-24T18:05:19.352077","9b3130e607f80aa4912aa184e2f4eab3",24,16159,"Jusuf Nurkic","player_assists_points_rebounds_over_under",2023-10-25
"2023-10-24T22:25:19.927893","9b3130e607f80aa4912aa184e2f4eab3",12,377,"Kevin Durant","player_assists_rebounds_over_under",2023-10-25
"2023-10-24T21:05:20.304323","9b3130e607f80aa4912aa184e2f4eab3",11.5,405,"Chris Paul","player_assists_rebounds_over_under",2023-10-25
"2023-10-24T18:00:20.403558","9b3130e607f80aa4912aa184e2f4eab3",12,16159,"Jusuf Nurkic","player_assists_rebounds_over_under",2023-10-25
"2023-10-24T21:30:19.027972","9b3130e607f80aa4912aa184e2f4eab3",0.5,17105,"Drew Eubanks","player_blocks_over_under",2023-10-25
"2023-10-22T02:15:03.219079","9b3130e607f80aa4912aa184e2f4eab3",1.5,377,"Kevin Durant","player_blocks_steals_over_under",2023-10-25
"2023-10-22T02:15:03.221820","9b3130e607f80aa4912aa184e2f4eab3",1.5,405,"Chris Paul","player_blocks_steals_over_under",2023-10-25
"2023-10-24T20:50:04.020150","9b3130e607f80aa4912aa184e2f4eab3",0.5,1237,"Moses Moody","player_blocks_steals_over_under",2023-10-25
"2023-10-24T21:10:04.031552","9b3130e607f80aa4912aa184e2f4eab3",0.5,17107,"Dario Saric","player_blocks_steals_over_under",2023-10-25
"2023-10-24T00:50:14.923165","9b3130e607f80aa4912aa184e2f4eab3",7.5,369,"Kevon Looney","player_points_over_under",2023-10-25
"2023-10-24T21:30:19.027865","9b3130e607f80aa4912aa184e2f4eab3",5.5,370,"Gary Payton Ii","player_points_over_under",2023-10-25
"2023-10-24T18:15:21.635776","9b3130e607f80aa4912aa184e2f4eab3",28.5,377,"Kevin Durant","player_points_over_under",2023-10-25
"2023-10-24T18:10:18.948645","9b3130e607f80aa4912aa184e2f4eab3",27.5,386,"Devin Booker","player_points_over_under",2023-10-25
"2023-10-24T22:35:19.600828","9b3130e607f80aa4912aa184e2f4eab3",20,390,"Klay Thompson","player_points_over_under",2023-10-25
"2023-10-25T02:10:16.532570","9b3130e607f80aa4912aa184e2f4eab3",30.5,394,"Stephen Curry","player_points_over_under",2023-10-25
"2023-10-25T00:15:15.713116","9b3130e607f80aa4912aa184e2f4eab3",11.5,405,"Chris Paul","player_points_over_under",2023-10-25
"2023-10-24T21:30:19.028042","9b3130e607f80aa4912aa184e2f4eab3",4.5,1237,"Moses Moody","player_points_over_under",2023-10-25
"2023-10-24T16:50:19.993381","9b3130e607f80aa4912aa184e2f4eab3",12,16159,"Jusuf Nurkic","player_points_over_under",2023-10-25
"2023-10-24T21:30:19.027503","9b3130e607f80aa4912aa184e2f4eab3",9.5,17097,"Grayson Allen","player_points_over_under",2023-10-25
"2023-10-25T01:55:14.873429","9b3130e607f80aa4912aa184e2f4eab3",9,17104,"Jonathan Kuminga","player_points_over_under",2023-10-25
"2023-10-24T21:30:19.027936","9b3130e607f80aa4912aa184e2f4eab3",5.5,17105,"Drew Eubanks","player_points_over_under",2023-10-25
"2023-10-25T01:15:15.989092","9b3130e607f80aa4912aa184e2f4eab3",9,17106,"Eric Gordon","player_points_over_under",2023-10-25
"2023-10-24T21:30:19.027645","9b3130e607f80aa4912aa184e2f4eab3",6.5,17107,"Dario Saric","player_points_over_under",2023-10-25
"2023-10-25T01:05:15.454954","9b3130e607f80aa4912aa184e2f4eab3",5.5,17125,"Nassir Little","player_points_over_under",2023-10-25
"2023-10-25T01:05:15.455025","9b3130e607f80aa4912aa184e2f4eab3",4.5,17126,"Keita Bates-Diop","player_points_over_under",2023-10-25
"2023-10-24T21:55:20.333290","9b3130e607f80aa4912aa184e2f4eab3",35.5,377,"Kevin Durant","player_points_rebounds_over_under",2023-10-25
"2023-10-24T23:35:20.528134","9b3130e607f80aa4912aa184e2f4eab3",33,386,"Devin Booker","player_points_rebounds_over_under",2023-10-25
"2023-10-24T13:55:19.204680","9b3130e607f80aa4912aa184e2f4eab3",24.5,390,"Klay Thompson","player_points_rebounds_over_under",2023-10-25
"2023-10-24T18:05:19.352125","9b3130e607f80aa4912aa184e2f4eab3",21,16159,"Jusuf Nurkic","player_points_rebounds_over_under",2023-10-25
"2023-10-24T21:35:18.919067","9b3130e607f80aa4912aa184e2f4eab3",11.5,17097,"Grayson Allen","player_points_rebounds_over_under",2023-10-25
"2023-10-25T01:55:14.873518","9b3130e607f80aa4912aa184e2f4eab3",12.5,17104,"Jonathan Kuminga","player_points_rebounds_over_under",2023-10-25
"2023-10-24T21:35:18.919136","9b3130e607f80aa4912aa184e2f4eab3",10.5,17105,"Drew Eubanks","player_points_rebounds_over_under",2023-10-25
"2023-10-24T21:35:18.919102","9b3130e607f80aa4912aa184e2f4eab3",10.5,17107,"Dario Saric","player_points_rebounds_over_under",2023-10-25
"2023-10-24T23:15:21.309968","9b3130e607f80aa4912aa184e2f4eab3",10,369,"Kevon Looney","player_rebounds_over_under",2023-10-25
"2023-10-24T21:55:20.333322","9b3130e607f80aa4912aa184e2f4eab3",7,377,"Kevin Durant","player_rebounds_over_under",2023-10-25
"2023-10-24T16:50:19.993347","9b3130e607f80aa4912aa184e2f4eab3",9,16159,"Jusuf Nurkic","player_rebounds_over_under",2023-10-25
"2023-10-24T21:30:19.027402","9b3130e607f80aa4912aa184e2f4eab3",2.5,17097,"Grayson Allen","player_rebounds_over_under",2023-10-25
"2023-10-25T01:55:14.873476","9b3130e607f80aa4912aa184e2f4eab3",3.5,17104,"Jonathan Kuminga","player_rebounds_over_under",2023-10-25
"2023-10-24T21:30:19.028007","9b3130e607f80aa4912aa184e2f4eab3",4.5,17105,"Drew Eubanks","player_rebounds_over_under",2023-10-25
"2023-10-24T21:30:19.027584","9b3130e607f80aa4912aa184e2f4eab3",4,17107,"Dario Saric","player_rebounds_over_under",2023-10-25
"2023-10-25T01:05:15.454886","9b3130e607f80aa4912aa184e2f4eab3",2.5,17125,"Nassir Little","player_rebounds_over_under",2023-10-25
"2023-10-24T21:30:19.027899","9b3130e607f80aa4912aa184e2f4eab3",0.5,370,"Gary Payton Ii","player_steals_over_under",2023-10-25
"2023-10-24T21:30:19.027829","9b3130e607f80aa4912aa184e2f4eab3",0.5,380,"Josh Okogie","player_steals_over_under",2023-10-25
"2023-10-24T21:30:19.027365","9b3130e607f80aa4912aa184e2f4eab3",0.5,17097,"Grayson Allen","player_steals_over_under",2023-10-25
