"timestamp","game_id","line","participant","participant_name","stat_type","game_date"
"2023-12-22T13:47:32.316184","6c414d04996f4c232d617587c668eff2",6.5,365,"Dennis Schroder","player_assists_over_under",2023-12-23
"2023-12-22T13:47:32.316329","6c414d04996f4c232d617587c668eff2",2.5,835,"Tobias Harris","player_assists_over_under",2023-12-23
"2023-12-22T13:47:32.317115","6c414d04996f4c232d617587c668eff2",6.5,837,"Tyrese Maxey","player_assists_over_under",2023-12-23
"2023-12-22T13:47:32.316473","6c414d04996f4c232d617587c668eff2",5.5,917,"Joel Embiid","player_assists_over_under",2023-12-23
"2023-12-22T13:47:32.316766","6c414d04996f4c232d617587c668eff2",4.5,16705,"Pascal Siakam","player_assists_over_under",2023-12-23
"2023-12-22T13:47:32.316913","6c414d04996f4c232d617587c668eff2",2.5,16940,"Og Anunoby","player_assists_over_under",2023-12-23
"2023-12-22T21:55:17.738302","6c414d04996f4c232d617587c668eff2",1.5,17112,"Gary Trent Jr.","player_assists_over_under",2023-12-23
"2023-12-22T03:30:12.753106","6c414d04996f4c232d617587c668eff2",19.5,365,"Dennis Schroder","player_assists_points_over_under",2023-12-23
"2023-12-22T16:45:12.240349","6c414d04996f4c232d617587c668eff2",16.5,835,"Tobias Harris","player_assists_points_over_under",2023-12-23
"2023-12-22T21:40:14.864031","6c414d04996f4c232d617587c668eff2",34,837,"Tyrese Maxey","player_assists_points_over_under",2023-12-23
"2023-12-22T03:30:12.753036","6c414d04996f4c232d617587c668eff2",41.5,917,"Joel Embiid","player_assists_points_over_under",2023-12-23
"2023-12-22T03:30:12.753371","6c414d04996f4c232d617587c668eff2",25.5,16705,"Pascal Siakam","player_assists_points_over_under",2023-12-23
"2023-12-22T03:30:12.753405","6c414d04996f4c232d617587c668eff2",26.5,16706,"Scottie Barnes","player_assists_points_over_under",2023-12-23
"2023-12-22T03:30:12.753228","6c414d04996f4c232d617587c668eff2",11.5,16939,"Jakob Poeltl","player_assists_points_over_under",2023-12-23
"2023-12-22T21:45:12.212578","6c414d04996f4c232d617587c668eff2",16,16940,"Og Anunoby","player_assists_points_over_under",2023-12-23
"2023-12-22T17:50:09.773843","6c414d04996f4c232d617587c668eff2",11.5,17112,"Gary Trent Jr.","player_assists_points_over_under",2023-12-23
"2023-12-22T23:45:11.149576","6c414d04996f4c232d617587c668eff2",14.5,17223,"Kelly Oubre Jr.","player_assists_points_over_under",2023-12-23
"2023-12-22T17:45:11.578819","6c414d04996f4c232d617587c668eff2",10,17345,"Precious Achiuwa","player_assists_points_over_under",2023-12-23
"2023-12-22T13:47:32.316257","6c414d04996f4c232d617587c668eff2",21.5,365,"Dennis Schroder","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.316401","6c414d04996f4c232d617587c668eff2",21.5,835,"Tobias Harris","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.317191","6c414d04996f4c232d617587c668eff2",36.5,837,"Tyrese Maxey","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.316582","6c414d04996f4c232d617587c668eff2",53.5,917,"Joel Embiid","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.316839","6c414d04996f4c232d617587c668eff2",32.5,16705,"Pascal Siakam","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.317339","6c414d04996f4c232d617587c668eff2",34.5,16706,"Scottie Barnes","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.316689","6c414d04996f4c232d617587c668eff2",18.5,16939,"Jakob Poeltl","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T13:47:32.317043","6c414d04996f4c232d617587c668eff2",20.5,16940,"Og Anunoby","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T21:55:17.738385","6c414d04996f4c232d617587c668eff2",13.5,17112,"Gary Trent Jr.","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T21:55:17.738439","6c414d04996f4c232d617587c668eff2",8.5,17167,"Chris Boucher","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T21:55:17.738523","6c414d04996f4c232d617587c668eff2",15.5,17345,"Precious Achiuwa","player_assists_points_rebounds_over_under",2023-12-23
"2023-12-22T21:55:17.738581","6c414d04996f4c232d617587c668eff2",8.5,17696,"Malachi Flynn","player_assists_points_rebounds_over_under",2023-12-23
