Player_ID,Name,Position,Team,Opponent,Line_Score_existing,Stat_Type,Game_ID,Start_Time
92438,Alec Burks,G,DET,MIL,0.5,Blks+Stls,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
92438,Alec Burks,G,DET,MIL,14.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
92438,Alec Burks,G,DET,MIL,16.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
92438,Alec Burks,G,DET,MIL,17.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
92438,Alec Burks,G,DET,MIL,19.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
92438,Alec Burks,G,DET,MIL,2.5,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,7.0,3-PT Attempted,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,2.5,Assists,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,14.5,FG Attempted,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,28.0,Fantasy Score,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,2.5,Free Throws Made,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,0.5,Offensive Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,19.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,21.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,22.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,25.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,3.5,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87365,Bojan Bogdanovic,G-F,DET,MIL,2.5,Turnovers,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,5.0,Assists,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,17.5,FG Attempted,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,33.5,Fantasy Score,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,3.5,Free Throws Made,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,20.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,26.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,25.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,30.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,4.0,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
79907,Jaden Ivey,G,DET,MIL,9.5,Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,8.0,Defensive Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,35.0,Fantasy Score,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,15.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,18.0,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,26.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,29.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,11.5,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
87848,Jalen Duren,C,DET,MIL,13.5,Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25425,Killian Hayes,G,DET,MIL,7.0,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25425,Killian Hayes,G,DET,MIL,13.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25425,Killian Hayes,G,DET,MIL,16.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25425,Killian Hayes,G,DET,MIL,9.5,Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,12.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,13.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,19.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,20.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,7.0,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
25376,Bobby Portis,F,MIL,DET,8.0,Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,1.5,3-PT Made,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,2.5,Blocked Shots,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,0.5,Dunks,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,30.0,Fantasy Score,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,1.5,Offensive Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,12.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,13.5,Pts+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,17.5,Pts+Rebs,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,19.5,Pts+Rebs+Asts,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,5.0,Rebounds,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
1683,Brook Lopez,C,MIL,DET,0.5,Steals,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,8.0,3-PT Attempted,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,6.0,Assists,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,1.5,Blks+Stls,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,17.0,FG Attempted,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,41.0,Fantasy Score,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,6.5,Free Throws Made,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
173850,Damian Lillard,G,MIL,DET,24.5,Points,0b90887f-70cf-49a8-8fc0-27d3184a6743,2024-01-20T15:10:00.000-05:00
