Player_ID,Name,Position,Team,Opponent,Line_Score,Stat_Type,Game_ID,Start_Time
184377,Alperen Sengun + Jaylen Brown,C/F,HOU/BOS,BOS/HOU,46.5,Points (Combo),e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:00:00.000-05:00
184378,Alperen Sengun + Jayson Tatum,C/F,HOU/BOS,BOS/HOU,17.5,Rebounds (Combo),e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:00:00.000-05:00
184379,Fred VanVleet + Derrick White,G,HOU/BOS,BOS/HOU,12.5,Assists (Combo),e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:00:00.000-05:00
184380,Fred VanVleet + Jayson Tatum,G/F,HOU/BOS,BOS/HOU,6,3-PT Made (Combo),e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:00:00.000-05:00
181883,Trae Young + Fred VanVleet,G,ATL/HOU,WAS/BOS,18.5,Assists (Combo),,2024-01-13T19:00:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,4,Free Throws Made,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,8.5,Rebounds,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,1.5,Blks+Stls,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,12.5,Rebs+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,24.5,Pts+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,21,Points,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,6,Defensive Rebounds,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,29.5,Pts+Rebs,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,16.5,FG Attempted,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,33.5,Pts+Rebs+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
55716,Alperen Sengun,C,HOU,BOS,40,Fantasy Score,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,21.5,Pts+Rebs+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,8.5,Rebs+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,16.5,Pts+Rebs,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,4.5,Assists,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,17.5,Pts+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,27,Fantasy Score,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
60021,Derrick White,G,BOS,HOU,13,Points,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
173586,Fred VanVleet,G,HOU,BOS,8,Assists,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
173586,Fred VanVleet,G,HOU,BOS,11.5,Rebs+Asts,e40f5e45-535d-48c0-9dfd-fa07d3a143be,2024-01-13T19:10:00.000-05:00
