"game_ID","home_team","away_team","game_date"
1037695,"Denver Nuggets","New Orleans Pelicans",2023-11-06
1037696,"Charlotte Hornets","Washington Wizards",2023-11-08
1037697,"Indiana Pacers","Utah Jazz",2023-11-08
1037698,"Philadelphia 76ers","Boston Celtics",2023-11-08
1037699,"Brooklyn Nets","LA Clippers",2023-11-08
1037700,"New York Knicks","San Antonio Spurs",2023-11-08
1037701,"Chicago Bulls","Phoenix Suns",2023-11-08
1037702,"Houston Rockets","Los Angeles Lakers",2023-11-08
1037703,"Memphis Grizzlies","Miami Heat",2023-11-08
1037704,"Milwaukee Bucks","Detroit Pistons",2023-11-08
1037705,"Minnesota Timberwolves","New Orleans Pelicans",2023-11-08
1037706,"Oklahoma City Thunder","Cleveland Cavaliers",2023-11-08
1037707,"Dallas Mavericks","Toronto Raptors",2023-11-08
1037708,"Denver Nuggets","Golden State Warriors",2023-11-08
1037709,"Sacramento Kings","Portland Trail Blazers",2023-11-08
1037710,"Indiana Pacers","Milwaukee Bucks",2023-11-09
1037711,"Orlando Magic","Atlanta Hawks",2023-11-09
3277397,"Detroit Pistons","Philadelphia 76ers",2023-11-10
3277398,"Washington Wizards","Charlotte Hornets",2023-11-10
3277399,"Boston Celtics","Brooklyn Nets",2023-11-10
3277400,"Houston Rockets","New Orleans Pelicans",2023-11-10
3277401,"Memphis Grizzlies","Utah Jazz",2023-11-10
3277402,"San Antonio Spurs","Minnesota Timberwolves",2023-11-10
3277403,"Dallas Mavericks","LA Clippers",2023-11-10
3277404,"Phoenix Suns","Los Angeles Lakers",2023-11-10
3277405,"Sacramento Kings","Oklahoma City Thunder",2023-11-10
1037721,"Orlando Magic","Milwaukee Bucks",2023-11-11
1037722,"Boston Celtics","Toronto Raptors",2023-11-11
1037723,"Atlanta Hawks","Miami Heat",2023-11-11
1037724,"Golden State Warriors","Cleveland Cavaliers",2023-11-11
1037725,"New York Knicks","Charlotte Hornets",2023-11-12
1037726,"Brooklyn Nets","Washington Wizards",2023-11-12
1037727,"LA Clippers","Memphis Grizzlies",2023-11-12
1037728,"Philadelphia 76ers","Indiana Pacers",2023-11-12
1037729,"Chicago Bulls","Detroit Pistons",2023-11-12
1037730,"Houston Rockets","Denver Nuggets",2023-11-12
1037731,"New Orleans Pelicans","Dallas Mavericks",2023-11-12
1037732,"San Antonio Spurs","Miami Heat",2023-11-12
1037733,"Phoenix Suns","Oklahoma City Thunder",2023-11-12
1037734,"Golden State Warriors","Minnesota Timberwolves",2023-11-12
1037735,"Los Angeles Lakers","Portland Trail Blazers",2023-11-12
1037736,"Boston Celtics","New York Knicks",2023-11-13
1037737,"Toronto Raptors","Washington Wizards",2023-11-13
1037738,"Milwaukee Bucks","Chicago Bulls",2023-11-13
1037739,"Sacramento Kings","Cleveland Cavaliers",2023-11-13
3277433,"Golden State Warriors","Minnesota Timberwolves",2023-11-14
3277434,"Los Angeles Lakers","Memphis Grizzlies",2023-11-14
3277425,"Charlotte Hornets","Miami Heat",2023-11-14
3277426,"Detroit Pistons","Atlanta Hawks",2023-11-14
3277427,"Philadelphia 76ers","Indiana Pacers",2023-11-14
3277428,"Brooklyn Nets","Orlando Magic",2023-11-14
3277429,"Oklahoma City Thunder","San Antonio Spurs",2023-11-14
3277430,"New Orleans Pelicans","Dallas Mavericks",2023-11-14
3277431,"Utah Jazz","Portland Trail Blazers",2023-11-14
3277432,"Denver Nuggets","LA Clippers",2023-11-14
1037750,"Washington Wizards","Dallas Mavericks",2023-11-15
1037751,"Atlanta Hawks","New York Knicks",2023-11-15
1037752,"Philadelphia 76ers","Boston Celtics",2023-11-15
1037753,"Toronto Raptors","Milwaukee Bucks",2023-11-15
1037754,"Chicago Bulls","Orlando Magic",2023-11-15
1037755,"Phoenix Suns","Minnesota Timberwolves",2023-11-15
1037756,"Los Angeles Lakers","Sacramento Kings",2023-11-15
1037757,"Portland Trail Blazers","Cleveland Cavaliers",2023-11-15
1037758,"Miami Heat","Brooklyn Nets",2023-11-16
1037759,"Golden State Warriors","Oklahoma City Thunder",2023-11-16
3277446,"Washington Wizards","New York Knicks",2023-11-17
3277447,"Atlanta Hawks","Philadelphia 76ers",2023-11-17
3277451,"Chicago Bulls","Orlando Magic",2023-11-17
3277452,"New Orleans Pelicans","Denver Nuggets",2023-11-17
