"ast","blk","dreb","fg3a","fg3m","fga","fgm","fta","ftm","min","oreb","pf","pts","reb","stl","turnover","game.id","game.date","game.home_team_id","game.postseason","game.visitor_team_id","player.id","player.position","player.team_id","team.id","team.full_name","player_name","blk_stl","pts_rebs","pts_rebs_ast","pts_ast","rebs_ast","fantasy"
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,56677738,"C",14,14,"Los Angeles Lakers","Colin Castleton",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,56677867,"F",14,14,"Los Angeles Lakers","Alex Fudge",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,56677868,"G",14,14,"Los Angeles Lakers","D'Moi Hodge",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,56677835,"G",14,14,"Los Angeles Lakers","Jalen Hood-Schifino",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,457,"F",14,14,"Los Angeles Lakers","Jarred Vanderbilt",0,0,0,0,0,0
4,0,4,2,1,11,4,7,5,"31",4,2,14,8,2,2,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,17553995,"G",14,14,"Los Angeles Lakers","Austin Reaves",2,22,26,18,12,33.6
7,0,4,5,2,12,4,2,1,"36",0,3,11,4,1,3,1037593,"2023-10-24T00:00:00.000Z",8,FALSE,14,405,"G",14,14,"Los Angeles Lakers","D'Angelo Russell",1,15,22,18,11,26.3
3,1,6,11,3,18,6,0,0,"36",1,3,15,7,0,3,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,443,"G",10,10,"Golden State Warriors","Klay Thompson",1,22,25,18,10,27.9
0,1,0,3,0,12,4,3,2,"27",1,3,10,1,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,475,"F-G",10,10,"Golden State Warriors","Andrew Wiggins",1,11,11,10,1,14.2
1,0,6,0,0,6,3,1,1,"28",5,2,7,11,0,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,282,"F",10,10,"Golden State Warriors","Kevon Looney",0,18,19,8,12,19.7
9,0,5,6,0,15,4,7,6,"34",1,0,14,6,2,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,367,"G",10,10,"Golden State Warriors","Chris Paul",2,20,29,23,15,39.7
1,0,4,14,4,20,8,7,7,"31",1,5,27,5,1,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,115,"G",10,10,"Golden State Warriors","Stephen Curry",1,32,33,28,6,35.5
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,56677799,"F",10,10,"Golden State Warriors","Trayce Jackson-Davis",0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,"04",1,0,0,1,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,251,"G",10,10,"Golden State Warriors","Cory Joseph",0,1,2,1,2,2.7
1,2,3,3,1,11,3,0,0,"20",4,3,7,7,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,407,"F",10,10,"Golden State Warriors","Dario Saric",2,14,15,8,8,22.9
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,17896070,"F",10,10,"Golden State Warriors","Usman Garuba",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,185,"F",10,10,"Golden State Warriors","Draymond Green",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,45658838,"G",10,10,"Golden State Warriors","Lester Quinones",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,398,"G",10,10,"Golden State Warriors","Jerome Robinson",0,0,0,0,0,0
1,0,1,1,1,9,7,2,2,"31",4,2,17,5,1,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,356,"G",24,24,"Phoenix Suns","Josh Okogie",1,22,23,18,6,25.5
3,1,8,2,1,22,7,5,3,"37",2,1,18,10,0,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,140,"F",24,24,"Phoenix Suns","Kevin Durant",1,28,31,21,13,35.5
3,1,11,2,1,8,5,3,3,"28",3,5,14,14,0,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,349,"C",24,24,"Phoenix Suns","Jusuf Nurkic",1,28,31,17,17,37.3
2,0,1,5,0,6,0,0,0,"21",3,2,0,4,0,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,8,"G",24,24,"Phoenix Suns","Grayson Allen",0,4,6,2,6,6.8
8,0,5,8,3,21,13,3,3,"37",1,4,32,6,1,6,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,57,"G",24,24,"Phoenix Suns","Devin Booker",1,38,46,40,14,48.2
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,3547095,"C-F",24,24,"Phoenix Suns","Udoka Azubuike",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,32,"F",24,24,"Phoenix Suns","Keita Bates-Diop",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,666451,"C",24,24,"Phoenix Suns","Bol Bol",0,0,0,0,0,0
2,3,6,0,0,3,1,4,2,"19",2,3,4,8,0,3,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,147,"F",24,24,"Phoenix Suns","Drew Eubanks",3,12,14,6,10,22.6
3,0,3,1,0,4,1,0,0,"14",1,0,2,4,1,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,18678058,"",24,24,"Phoenix Suns","Jordan Goodwin",1,6,9,5,7,12.3
1,1,3,9,2,16,4,0,0,"32",1,2,10,4,1,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,178,"G",24,24,"Phoenix Suns","Eric Gordon",2,14,15,11,5,21.3
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,3547298,"G",24,24,"Phoenix Suns","Saben Lee",0,0,0,0,0,0
1,1,3,0,0,8,4,6,4,"20",3,5,12,6,2,2,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,17553979,"F",10,10,"Golden State Warriors","Jonathan Kuminga",3,18,19,13,7,27.7
0,1,2,4,2,6,4,2,1,"18",1,1,11,3,3,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,17553992,"G",10,10,"Golden State Warriors","Moses Moody",4,14,14,11,3,25.6
2,0,2,2,0,5,0,2,1,"22",0,1,1,2,3,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,2189,"",10,10,"Golden State Warriors","Gary Payton II",3,3,5,3,4,15.4
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,56677858,"G",10,10,"Golden State Warriors","Brandin Podziemski",0,0,0,0,0,0
0,0,1,1,1,1,1,0,0,"03",0,1,3,1,1,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,666729,"F",24,24,"Phoenix Suns","Nassir Little",1,4,4,3,1,7.2
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,314,"F",24,24,"Phoenix Suns","Chimezie Metu",0,0,0,0,0,0
0,1,4,4,2,5,3,0,0,"18",0,2,8,4,0,1,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,470,"G",24,24,"Phoenix Suns","Yuta Watanabe",1,12,12,8,4,14.8
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,37,"G",24,24,"Phoenix Suns","Bradley Beal",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037594,"2023-10-24T00:00:00.000Z",10,FALSE,24,272,"G",24,24,"Phoenix Suns","Damion Lee",0,0,0,0,0,0
7,1,5,1,0,8,4,3,2,"33",3,1,10,8,1,6,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,204,"F",4,4,"Charlotte Hornets","Gordon Hayward",2,18,25,17,15,30.1
2,0,4,6,1,18,12,0,0,"32",1,4,25,5,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,666950,"F",4,4,"Charlotte Hornets","P.J. Washington",0,30,32,27,7,33
1,1,11,0,0,6,5,3,3,"30",4,2,13,15,3,2,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,38017698,"C",4,4,"Charlotte Hornets","Mark Williams",4,28,29,14,16,42.5
6,0,4,7,2,16,7,12,8,"34",1,2,24,5,0,3,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,403,"G",4,4,"Charlotte Hornets","Terry Rozier",0,29,35,30,11,36
10,0,5,11,4,15,4,4,3,"31",1,3,15,6,1,3,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547239,"G",4,4,"Charlotte Hornets","LaMelo Ball",1,21,31,25,16,37.2
2,0,3,7,3,9,5,0,0,"25",0,3,13,3,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677823,"F",4,4,"Charlotte Hornets","Brandon Miller",0,16,18,15,5,18.6
4,0,4,5,1,9,3,0,0,"24",0,1,7,4,3,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,53,"G",1,1,"Atlanta Hawks","Bogdan Bogdanovic",3,11,15,11,8,26.8
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677838,"G",1,1,"Atlanta Hawks","Kobe Bufkin",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,666564,"F",1,1,"Atlanta Hawks","Bruno Fernando",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,3547297,"G",1,1,"Atlanta Hawks","Trent Forrest",0,0,0,0,0,0
0,0,2,1,0,2,1,0,0,"10",0,1,2,2,0,1,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,38017689,"F",1,1,"Atlanta Hawks","AJ Griffin",0,4,4,2,2,3.4
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,56677806,"F",1,1,"Atlanta Hawks","Mouhamed Gueye",0,0,0,0,0,0
2,1,7,3,1,13,9,4,2,"29",0,1,21,7,2,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,17896040,"F",1,1,"Atlanta Hawks","Jalen Johnson",3,28,30,23,9,41.4
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,666754,"G",1,1,"Atlanta Hawks","Garrison Mathews",0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,"00",0,0,0,0,0,0,1037595,"2023-10-25T00:00:00.000Z",4,FALSE,1,319,"G",1,1,"Atlanta Hawks","Patty Mills",0,0,0,0,0,0
