"game_ID","away_team","home_team"
"4622c02f9bd1df188631c86e04036049","Los Angeles Lakers","Denver Nuggets"
"9b3130e607f80aa4912aa184e2f4eab3","Phoenix Suns","Golden State Warriors"
"4eec3d2ccf41b67f09948cb36fceee16","Atlanta Hawks","Charlotte Hornets"
"04ebbb84dbf8f85789639293d764e98c","Washington Wizards","Indiana Pacers"
"fc4c2016a5ccbb267aa0d569b1a49283","Boston Celtics","New York Knicks"
"bc223a7e24fbf5cb9c6eecd0f016f38d","Houston Rockets","Orlando Magic"
"9df5a18ec404f6abe1632c9244f4a5d4","Cleveland Cavaliers","Brooklyn Nets"
"e144f29faba3f74fa2cfcff3a453c9f5","Detroit Pistons","Miami Heat"
"2ac182b5f3deb3427fff7b20ef6923a7","Minnesota Timberwolves","Toronto Raptors"
"9a246f4d94b4e81172c11e29f73c061b","Oklahoma City Thunder","Chicago Bulls"
"e7aa4c6ee075887eac8a07785a9f81db","New Orleans Pelicans","Memphis Grizzlies"
"3da05abaf29cf6c907253180fca9b256","Sacramento Kings","Utah Jazz"
"5bb0e95012a4c67ec9eb95fedb933e6a","Dallas Mavericks","San Antonio Spurs"
"14b35b5784ae5cbadba6824cb6fcee98","Portland Trail Blazers","LA Clippers"
"1eb9915d586c87719ec6934863667a14","Philadelphia 76ers","Milwaukee Bucks"
"8a673a488573ce37a3bdd7f0c1fd5d3a","Phoenix Suns","Los Angeles Lakers"
"c8872ae6d185dc314178da88dcf254d5","Detroit Pistons","Charlotte Hornets"
"14a8cbe914ca50ec6301efbb2a09a906","Denver Nuggets","Memphis Grizzlies"
"4741f49b87ab73c0a5add62a4f48f992","New York Knicks","Atlanta Hawks"
"2837480dec215a9c39bcc7a8873280e2","Miami Heat","Boston Celtics"
"0c6162d6c90f9fc161fb06ac0ad46e38","Oklahoma City Thunder","Cleveland Cavaliers"
"29ea738c1de18c8f28c09966bb267752","Toronto Raptors","Chicago Bulls"
"b648f3bec470d6c24c43eab0902cf083","Houston Rockets","San Antonio Spurs"
"5e902239ce38cccede66c182ced2b9f2","Brooklyn Nets","Dallas Mavericks"
"36cc02aebbd57205da4ee51be27f1424","LA Clippers","Utah Jazz"
